Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,8,159,2,Some Random Commen with Id 0
1,0,8,20,0,Some Random Commen with Id 1
2,0,8,54,8,Some Random Commen with Id 2
3,0,8,32,2,Some Random Commen with Id 3
4,0,8,91,8,Some Random Commen with Id 4
5,0,8,196,6,Some Random Commen with Id 5
6,1,1,166,7,Some Random Commen with Id 6
7,1,1,30,7,Some Random Commen with Id 7
8,1,1,52,2,Some Random Commen with Id 8
9,1,1,198,3,Some Random Commen with Id 9
10,1,1,78,2,Some Random Commen with Id 10
11,1,1,136,3,Some Random Commen with Id 11
12,1,1,177,2,Some Random Commen with Id 12
13,1,1,26,9,Some Random Commen with Id 13
14,2,1,113,2,Some Random Commen with Id 14
15,2,1,199,7,Some Random Commen with Id 15
16,2,1,112,0,Some Random Commen with Id 16
17,2,1,187,5,Some Random Commen with Id 17
18,2,1,65,8,Some Random Commen with Id 18
19,2,1,50,8,Some Random Commen with Id 19
20,2,1,146,4,Some Random Commen with Id 20
21,2,1,113,5,Some Random Commen with Id 21
22,3,3,186,8,Some Random Commen with Id 22
23,3,3,182,1,Some Random Commen with Id 23
24,3,3,3,3,Some Random Commen with Id 24
25,3,3,47,6,Some Random Commen with Id 25
26,3,3,197,7,Some Random Commen with Id 26
27,3,3,41,2,Some Random Commen with Id 27
28,3,3,87,0,Some Random Commen with Id 28
29,4,6,160,5,Some Random Commen with Id 29
30,4,6,135,5,Some Random Commen with Id 30
31,4,6,100,1,Some Random Commen with Id 31
32,4,6,105,8,Some Random Commen with Id 32
33,5,2,153,2,Some Random Commen with Id 33
34,5,2,11,9,Some Random Commen with Id 34
35,6,0,95,8,Some Random Commen with Id 35
36,6,0,180,7,Some Random Commen with Id 36
37,6,0,129,9,Some Random Commen with Id 37
38,6,0,33,0,Some Random Commen with Id 38
39,6,0,73,2,Some Random Commen with Id 39
40,6,0,48,0,Some Random Commen with Id 40
41,7,0,71,3,Some Random Commen with Id 41
42,7,0,43,6,Some Random Commen with Id 42
43,7,0,134,6,Some Random Commen with Id 43
44,7,0,175,1,Some Random Commen with Id 44
45,8,3,108,8,Some Random Commen with Id 45
46,8,3,169,2,Some Random Commen with Id 46
47,8,3,9,7,Some Random Commen with Id 47
48,9,9,160,1,Some Random Commen with Id 48
49,9,9,125,8,Some Random Commen with Id 49
50,9,9,11,1,Some Random Commen with Id 50
51,9,9,131,8,Some Random Commen with Id 51
52,9,9,75,4,Some Random Commen with Id 52
53,10,5,155,3,Some Random Commen with Id 53
54,10,5,61,8,Some Random Commen with Id 54
55,10,5,115,6,Some Random Commen with Id 55
56,11,8,24,8,Some Random Commen with Id 56
57,11,8,53,5,Some Random Commen with Id 57
58,11,8,41,0,Some Random Commen with Id 58
59,11,8,15,0,Some Random Commen with Id 59
60,13,7,0,0,Some Random Commen with Id 60
61,14,6,108,1,Some Random Commen with Id 61
62,15,1,60,7,Some Random Commen with Id 62
63,15,1,13,8,Some Random Commen with Id 63
64,15,1,140,3,Some Random Commen with Id 64
65,15,1,160,4,Some Random Commen with Id 65
66,15,1,76,1,Some Random Commen with Id 66
67,15,1,7,1,Some Random Commen with Id 67
68,15,1,156,3,Some Random Commen with Id 68
69,16,3,145,0,Some Random Commen with Id 69
70,16,3,71,6,Some Random Commen with Id 70
71,16,3,76,9,Some Random Commen with Id 71
72,17,2,124,6,Some Random Commen with Id 72
73,17,2,152,7,Some Random Commen with Id 73
74,18,0,67,3,Some Random Commen with Id 74
75,18,0,195,6,Some Random Commen with Id 75
76,18,0,180,7,Some Random Commen with Id 76
77,18,0,43,4,Some Random Commen with Id 77
78,18,0,154,8,Some Random Commen with Id 78
79,18,0,147,3,Some Random Commen with Id 79
80,18,0,49,9,Some Random Commen with Id 80
81,18,0,77,3,Some Random Commen with Id 81
82,20,9,180,7,Some Random Commen with Id 82
83,20,9,19,2,Some Random Commen with Id 83
84,20,9,21,6,Some Random Commen with Id 84
85,20,9,135,5,Some Random Commen with Id 85
86,20,9,162,5,Some Random Commen with Id 86
87,20,9,184,8,Some Random Commen with Id 87
88,20,9,91,1,Some Random Commen with Id 88
89,20,9,17,5,Some Random Commen with Id 89
90,20,9,18,8,Some Random Commen with Id 90
91,21,4,121,6,Some Random Commen with Id 91
92,21,4,132,9,Some Random Commen with Id 92
93,21,4,108,2,Some Random Commen with Id 93
94,21,4,64,4,Some Random Commen with Id 94
95,21,4,25,4,Some Random Commen with Id 95
96,21,4,175,7,Some Random Commen with Id 96
97,22,8,148,6,Some Random Commen with Id 97
